source,seller,property_type,location_text,province,price_php,lot_area_sqm,floor_area_sqm,tct,sale_type,auction_date,maps_url,image_url,source_url,posted_date,branch
lamudi,My Saving Grace Realty & Development Corp,Lot,"Mina, Iloilo",Iloilo,1770000.0,2161.0,,,,,https://www.google.com/maps/search/?api=1&query=Mina%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwYi1kYTcyLTcwYjctODFkZS1kZTI3NDkwNzYyNTIvMWU3YTFiOTllZmY4OTlkYTNiYzFhMmQ4OTNkMjNkMWFhMDA3OTAxMDRiODEyMjg5YzlhNzJiYmZiOGJmZmU4Zi5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-de274907629b-dabb-19c5654-8227-7100,,
lamudi,My Saving Grace Realty & Development Corp,House,"Pavia, Iloilo",Iloilo,1781000.0,,133.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwMC1lMTQwLTdiOTUtYjE1Yy0xMWI2OTczMGY2MzYvMzI0OGE5OWVjN2ZmMzcyN2FmOTkyNDQ3YjJjODFjMjIwYWVkNDAwYjAwYmIzODQ0NjgzOTNkZDc1OGI1YjZhYS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-11b69730f67f-e189-19c5649-b1a5-7bde,,
lamudi,My Saving Grace Realty & Development Corp,House,"Pavia, Iloilo",Iloilo,1800000.0,,40.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwMi0xODFiLTdhOTctYjFhOS1mODc5MTlhZmI5M2YvZWFhMzcxZWU4YTJlYWE1MDYwMjY0MDNlYWE0MDBlYjhlNjZiNmU0YzQ1NTU2MjM2ZmRmZjM3NGY5Y2EyM2RlMy5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-f87919afb988-1864-19c564b-b1f2-7ae0,,
foreclosurephilippines,Pag-IBIG,,"Leganes, Iloilo",Iloilo,1867400.0,52.0,51.0,090-2023011755,,,https://www.google.com/maps/search/?api=1&query=Leganes%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250430020-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-id-858202503250024-foreclosed-town-house-lot-32-blk-8-deca-homes-leganes-residences-site-3-guihaman-leganes-iloilo-5003-tranche-opa5910008-1st-auction-on-june-09-2025/,2026/07/19,BACOLOD BRANCH
lamudi,BDO,House,"Pavia, Iloilo",Iloilo,1900000.0,,60.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTlmMDI5Yy0xYzZjLTc0YjMtYTM1NC1iMzA0MjIwZWZkYTUvMmVmYjJmYzBhOWQ5MjZiOTBkMGVlNGRmM2JjZTUyYjhkOTA0NzA0ODJlYTcyOGFiNTJhM2VmYjZjNDk5ZjJjNC5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-b304220efdee-1cb5-19f02e5-a39d-74fc,,
lamudi,My Saving Grace Realty & Development Corp,House,"Pavia, Iloilo",Iloilo,2000000.0,,46.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwMi0xMTgwLTdiMWEtYjJiNi0xYmZhNmIxYzczOWQvMmRmMzA3MzJhYjZlNzUzNGNlNDEzOWM0MGFiZDViY2NkNDZjZTQ3MjA4MGQ0OGVkOTM3NDdhMzdmYmE5YWY2ZC5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-1bfa6b1c73e6-11c9-19c564b-b2ff-7b63,,
foreclosurephilippines,Pag-IBIG,,"Leganes, Iloilo",Iloilo,2031700.0,52.0,51.0,090-2024012017,,,https://www.google.com/maps/search/?api=1&query=Leganes%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920260708019-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-858202606250029-lot-67-blk-29-deca-homes-leganes-residences-site-5-guinobatan-leganes-iloilo-5003-1st-public-auction-on-jul-27-2026-jul-31-2026/,2026/07/19,BACOLOD BRANCH
lamudi,BPI (Buena Mano),House,"Iloilo, Iloilo",Iloilo,2250000.0,,79.0,,,,https://www.google.com/maps/search/?api=1&query=Iloilo%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljMDNhMC0yZmVhLTdkNzYtYTk2Ni1kZmY0NmUxZTA0NzcvZDExNzBiYjcxZjU4MTk1MTg5Y2NiNWFmYjQ5ZmFmNDU4ZDU5MTNhZjMyNTUwNDNiMGQ5MTY2YTIzZjFiYmYyMy5wbmciLCJicmFuZCI6ImxhbXVkaSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjozMjAsImhlaWdodCI6MjQwLCJmaXQiOiJjb3ZlciJ9fX0=,https://www.lamudi.com.ph/property/41032-73-dff46e1e04c0-3033-19c03e9-a9af-7dbf,,
lamudi,My Saving Grace Realty & Development Corp,House,"Iloilo, Iloilo",Iloilo,2500000.0,,68.0,,,,https://www.google.com/maps/search/?api=1&query=Iloilo%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NmMzNS1jNTUwLTc1MGYtYjgyNC01OWU3NmRjMjkwMjIvYWMzMmJlODdjYTZmODI0MGNkOGMxM2E3NTQ1YTFlNjQxZWJkNzY0YmJmNGE0MzFiYmRlYWNjYjdkMzIyODc5Yi5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-59e76dc2906b-c599-1976c7e-b86d-7558,,
lamudi,My Saving Grace Realty & Development Corp,Townhouse,"Iloilo, Iloilo",Iloilo,2650000.0,,68.0,,,,https://www.google.com/maps/search/?api=1&query=Iloilo%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwMi1jZjM4LTc0NTYtYTE4Yi0wMmE0ODExYWYyM2QvNjNlNWYxMzY2M2E1NjI4NzQ2MjZlM2Y2YWQyZDVkMjQwODQzODNmOTkwYzRmMjUxNzFiMTRlNDY4ZjFlNGU2Yi5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-2a4811af286-cf81-19c564b-a1d4-749f,,
